,Telostylinus angusticollis,Coenagrion puella,Panorpa cognata,Scathophaga stercoraria,Coenagrion ornatum,Coenagrion hastulatum,Coenagrion mercuriale,Anopheles stephensi,Dichochrysa prasina,Tribolium castaneum,Hippodamia convergens,Coleomegilla maculata,Cryptolaemus montrouzieri,Aedes aegypti,Drosophila melanogaster,Anopheles gambiae,Chrysoperla carnea,Culex quinquefasciatus,Danaus plexippus,Nicrophorus vespilloides
Telostylinus angusticollis,1,0.481806775,0.658720201,0.924717691,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.924717691,0.658720201,0.611041405,0.658720201,0.658720201,0.611041405
Coenagrion puella,0.481806775,1,0.481806775,0.481806775,0.997214555,0.985194479,0.9902133,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775
Panorpa cognata,0.658720201,0.481806775,1,0.658720201,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.658720201,0.611041405,0.658720201,0.658720201,0.611041405
Scathophaga stercoraria,0.924717691,0.481806775,0.658720201,1,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.930991217,0.658720201,0.611041405,0.658720201,0.658720201,0.611041405
Coenagrion ornatum,0.481806775,0.997214555,0.481806775,0.481806775,1,0.985194479,0.9902133,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775
Coenagrion hastulatum,0.481806775,0.985194479,0.481806775,0.481806775,0.985194479,1,0.985194479,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775
Coenagrion mercuriale,0.481806775,0.9902133,0.481806775,0.481806775,0.9902133,0.985194479,1,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775
Anopheles stephensi,0.658720201,0.481806775,0.658720201,0.658720201,0.481806775,0.481806775,0.481806775,1,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.761606023,0.658720201,0.901706399,0.611041405,0.761606023,0.658720201,0.611041405
Dichochrysa prasina,0.611041405,0.481806775,0.611041405,0.611041405,0.481806775,0.481806775,0.481806775,0.611041405,1,0.617314931,0.617314931,0.617314931,0.617314931,0.611041405,0.611041405,0.611041405,0.948557089,0.611041405,0.611041405,0.617314931
Tribolium castaneum,0.611041405,0.481806775,0.611041405,0.611041405,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,1,0.700125471,0.700125471,0.700125471,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,0.611041405,0.663739021
Hippodamia convergens,0.611041405,0.481806775,0.611041405,0.611041405,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,0.700125471,1,0.998745295,0.998745295,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,0.611041405,0.663739021
Coleomegilla maculata,0.611041405,0.481806775,0.611041405,0.611041405,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,0.700125471,0.998745295,1,0.998745295,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,0.611041405,0.663739021
Cryptolaemus montrouzieri,0.611041405,0.481806775,0.611041405,0.611041405,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,0.700125471,0.998745295,0.998745295,1,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,0.611041405,0.663739021
Aedes aegypti,0.658720201,0.481806775,0.658720201,0.658720201,0.481806775,0.481806775,0.481806775,0.761606023,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,1,0.658720201,0.761606023,0.611041405,0.811794228,0.658720201,0.611041405
Drosophila melanogaster,0.924717691,0.481806775,0.658720201,0.930991217,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,1,0.658720201,0.611041405,0.658720201,0.658720201,0.611041405
Anopheles gambiae,0.658720201,0.481806775,0.658720201,0.658720201,0.481806775,0.481806775,0.481806775,0.901706399,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.761606023,0.658720201,1,0.611041405,0.761606023,0.658720201,0.611041405
Chrysoperla carnea,0.611041405,0.481806775,0.611041405,0.611041405,0.481806775,0.481806775,0.481806775,0.611041405,0.948557089,0.617314931,0.617314931,0.617314931,0.617314931,0.611041405,0.611041405,0.611041405,1,0.611041405,0.611041405,0.617314931
Culex quinquefasciatus,0.658720201,0.481806775,0.658720201,0.658720201,0.481806775,0.481806775,0.481806775,0.761606023,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.811794228,0.658720201,0.761606023,0.611041405,1,0.658720201,0.611041405
Danaus plexippus,0.658720201,0.481806775,0.658720201,0.658720201,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.658720201,0.611041405,0.658720201,1,0.611041405
Nicrophorus vespilloides,0.611041405,0.481806775,0.611041405,0.611041405,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,0.663739021,0.663739021,0.663739021,0.663739021,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,0.611041405,1
