,Lepidomys proclea,Cheilomenes sexmaculata,Telostylinus angusticollis,Bicyclus anynana,Speyeria mormonia,Coenonympha pamphilus,Coenagrion puella,Panorpa cognata,Orgyia antiqua,Choristoneura fumiferana,Scathophaga stercoraria,Riptortus pedestris,Coenagrion ornatum,Coenagrion hastulatum,Coenagrion mercuriale,Anopheles stephensi,Dichochrysa prasina,Tribolium castaneum,Pieris rapae,Tenebrio molitor,Hippodamia convergens,Coleomegilla maculata,Cryptolaemus montrouzieri,Aedes aegypti,Drosophila melanogaster,Anopheles gambiae,Ceratitis capitata,Chrysoperla carnea,Culex quinquefasciatus,Gnatocerus cornutus,Danaus plexippus,Nicrophorus vespilloides
Lepidomys proclea,1,0.611041405,0.658720201,0.856963614,0.856963614,0.856963614,0.481806775,0.658720201,0.863237139,0.804265997,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.856963614,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.611041405,0.658720201,0.611041405,0.856963614,0.611041405
Cheilomenes sexmaculata,0.611041405,1,0.611041405,0.611041405,0.611041405,0.611041405,0.481806775,0.611041405,0.611041405,0.611041405,0.611041405,0.550815558,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,0.700125471,0.611041405,0.700125471,0.998745295,0.998745295,0.998745295,0.611041405,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,0.700125471,0.611041405,0.663739021
Telostylinus angusticollis,0.658720201,0.611041405,1,0.658720201,0.658720201,0.658720201,0.481806775,0.658720201,0.658720201,0.658720201,0.924717691,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.924717691,0.658720201,0.924717691,0.611041405,0.658720201,0.611041405,0.658720201,0.611041405
Bicyclus anynana,0.856963614,0.611041405,0.658720201,1,0.894604768,0.944792974,0.481806775,0.658720201,0.856963614,0.804265997,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.875784191,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.611041405,0.658720201,0.611041405,0.888331242,0.611041405
Speyeria mormonia,0.856963614,0.611041405,0.658720201,0.894604768,1,0.894604768,0.481806775,0.658720201,0.856963614,0.804265997,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.875784191,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.611041405,0.658720201,0.611041405,0.888331242,0.611041405
Coenonympha pamphilus,0.856963614,0.611041405,0.658720201,0.944792974,0.894604768,1,0.481806775,0.658720201,0.856963614,0.804265997,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.875784191,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.611041405,0.658720201,0.611041405,0.888331242,0.611041405
Coenagrion puella,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,1,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.997214555,0.985194479,0.9902133,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775
Panorpa cognata,0.658720201,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.481806775,1,0.658720201,0.658720201,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.611041405,0.658720201,0.611041405,0.658720201,0.611041405
Orgyia antiqua,0.863237139,0.611041405,0.658720201,0.856963614,0.856963614,0.856963614,0.481806775,0.658720201,1,0.804265997,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.856963614,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.611041405,0.658720201,0.611041405,0.856963614,0.611041405
Choristoneura fumiferana,0.804265997,0.611041405,0.658720201,0.804265997,0.804265997,0.804265997,0.481806775,0.658720201,0.804265997,1,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.804265997,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.611041405,0.658720201,0.611041405,0.804265997,0.611041405
Scathophaga stercoraria,0.658720201,0.611041405,0.924717691,0.658720201,0.658720201,0.658720201,0.481806775,0.658720201,0.658720201,0.658720201,1,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.930991217,0.658720201,0.924717691,0.611041405,0.658720201,0.611041405,0.658720201,0.611041405
Riptortus pedestris,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.481806775,0.550815558,0.550815558,0.550815558,0.550815558,1,0.481806775,0.481806775,0.481806775,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558,0.550815558
Coenagrion ornatum,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.997214555,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,1,0.985194479,0.9902133,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775
Coenagrion hastulatum,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.985194479,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.985194479,1,0.985194479,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775
Coenagrion mercuriale,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.9902133,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.9902133,0.985194479,1,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775
Anopheles stephensi,0.658720201,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.481806775,0.658720201,0.658720201,0.658720201,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,1,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.761606023,0.658720201,0.901706399,0.658720201,0.611041405,0.761606023,0.611041405,0.658720201,0.611041405
Dichochrysa prasina,0.611041405,0.617314931,0.611041405,0.611041405,0.611041405,0.611041405,0.481806775,0.611041405,0.611041405,0.611041405,0.611041405,0.550815558,0.481806775,0.481806775,0.481806775,0.611041405,1,0.617314931,0.611041405,0.617314931,0.617314931,0.617314931,0.617314931,0.611041405,0.611041405,0.611041405,0.611041405,0.948557089,0.611041405,0.617314931,0.611041405,0.617314931
Tribolium castaneum,0.611041405,0.700125471,0.611041405,0.611041405,0.611041405,0.611041405,0.481806775,0.611041405,0.611041405,0.611041405,0.611041405,0.550815558,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,1,0.611041405,0.774153074,0.700125471,0.700125471,0.700125471,0.611041405,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,0.774153074,0.611041405,0.663739021
Pieris rapae,0.856963614,0.611041405,0.658720201,0.875784191,0.875784191,0.875784191,0.481806775,0.658720201,0.856963614,0.804265997,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,1,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.611041405,0.658720201,0.611041405,0.875784191,0.611041405
Tenebrio molitor,0.611041405,0.700125471,0.611041405,0.611041405,0.611041405,0.611041405,0.481806775,0.611041405,0.611041405,0.611041405,0.611041405,0.550815558,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,0.774153074,0.611041405,1,0.700125471,0.700125471,0.700125471,0.611041405,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,0.808030113,0.611041405,0.663739021
Hippodamia convergens,0.611041405,0.998745295,0.611041405,0.611041405,0.611041405,0.611041405,0.481806775,0.611041405,0.611041405,0.611041405,0.611041405,0.550815558,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,0.700125471,0.611041405,0.700125471,1,0.998745295,0.998745295,0.611041405,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,0.700125471,0.611041405,0.663739021
Coleomegilla maculata,0.611041405,0.998745295,0.611041405,0.611041405,0.611041405,0.611041405,0.481806775,0.611041405,0.611041405,0.611041405,0.611041405,0.550815558,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,0.700125471,0.611041405,0.700125471,0.998745295,1,0.998745295,0.611041405,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,0.700125471,0.611041405,0.663739021
Cryptolaemus montrouzieri,0.611041405,0.998745295,0.611041405,0.611041405,0.611041405,0.611041405,0.481806775,0.611041405,0.611041405,0.611041405,0.611041405,0.550815558,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,0.700125471,0.611041405,0.700125471,0.998745295,0.998745295,1,0.611041405,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,0.700125471,0.611041405,0.663739021
Aedes aegypti,0.658720201,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.481806775,0.658720201,0.658720201,0.658720201,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,0.761606023,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,1,0.658720201,0.761606023,0.658720201,0.611041405,0.811794228,0.611041405,0.658720201,0.611041405
Drosophila melanogaster,0.658720201,0.611041405,0.924717691,0.658720201,0.658720201,0.658720201,0.481806775,0.658720201,0.658720201,0.658720201,0.930991217,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,1,0.658720201,0.924717691,0.611041405,0.658720201,0.611041405,0.658720201,0.611041405
Anopheles gambiae,0.658720201,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.481806775,0.658720201,0.658720201,0.658720201,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,0.901706399,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.761606023,0.658720201,1,0.658720201,0.611041405,0.761606023,0.611041405,0.658720201,0.611041405
Ceratitis capitata,0.658720201,0.611041405,0.924717691,0.658720201,0.658720201,0.658720201,0.481806775,0.658720201,0.658720201,0.658720201,0.924717691,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.924717691,0.658720201,1,0.611041405,0.658720201,0.611041405,0.658720201,0.611041405
Chrysoperla carnea,0.611041405,0.617314931,0.611041405,0.611041405,0.611041405,0.611041405,0.481806775,0.611041405,0.611041405,0.611041405,0.611041405,0.550815558,0.481806775,0.481806775,0.481806775,0.611041405,0.948557089,0.617314931,0.611041405,0.617314931,0.617314931,0.617314931,0.617314931,0.611041405,0.611041405,0.611041405,0.611041405,1,0.611041405,0.617314931,0.611041405,0.617314931
Culex quinquefasciatus,0.658720201,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.481806775,0.658720201,0.658720201,0.658720201,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,0.761606023,0.611041405,0.611041405,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.811794228,0.658720201,0.761606023,0.658720201,0.611041405,1,0.611041405,0.658720201,0.611041405
Gnatocerus cornutus,0.611041405,0.700125471,0.611041405,0.611041405,0.611041405,0.611041405,0.481806775,0.611041405,0.611041405,0.611041405,0.611041405,0.550815558,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,0.774153074,0.611041405,0.808030113,0.700125471,0.700125471,0.700125471,0.611041405,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,1,0.611041405,0.663739021
Danaus plexippus,0.856963614,0.611041405,0.658720201,0.888331242,0.888331242,0.888331242,0.481806775,0.658720201,0.856963614,0.804265997,0.658720201,0.550815558,0.481806775,0.481806775,0.481806775,0.658720201,0.611041405,0.611041405,0.875784191,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.658720201,0.658720201,0.611041405,0.658720201,0.611041405,1,0.611041405
Nicrophorus vespilloides,0.611041405,0.663739021,0.611041405,0.611041405,0.611041405,0.611041405,0.481806775,0.611041405,0.611041405,0.611041405,0.611041405,0.550815558,0.481806775,0.481806775,0.481806775,0.611041405,0.617314931,0.663739021,0.611041405,0.663739021,0.663739021,0.663739021,0.663739021,0.611041405,0.611041405,0.611041405,0.611041405,0.617314931,0.611041405,0.663739021,0.611041405,1
