"theta","n","true_lnM","bias_PI","bias_SAFE_raw","bias_SAFE_BC","bias_Qmid_05","bias_Qmid_10","bias_Trim_05","bias_Trim_10","rmse_PI","rmse_SAFE_raw","rmse_SAFE_BC","rmse_Qmid_05","rmse_Qmid_10","rmse_Trim_05","rmse_Trim_10","SAFE_ok_rate","accept_prop","facet_label"
0.25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.404379919787199,"n=5"
0.35,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.426134941168875,"n=5"
0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.426008772798658,"n=5"
0.7,5,-1.55054639460591,0.980389193668227,1.1658079171797,0.577095429437989,1.03343843019779,1.11876622301041,1.19656631300887,1.21089820294834,1.21799350289867,1.21776732571818,1.31379820680632,1.09905519569859,1.17564507403502,1.24618667598884,1.25932736584313,1,0.453112486307507,"n=5"
1,5,-0.601986402162968,0.20720019670121,0.372565343002564,-0.109436578285766,0.248018841160643,0.329173660603138,0.401897862006017,0.415332943843465,0.745980498107612,0.550329857660692,1.12741904644061,0.503296954913627,0.532802569868554,0.566167883464689,0.57337610068253,1,0.512340357946591,"n=5"
1.5,5,-0.0389807707348558,0.0548395322286619,0.126075620534415,-0.0934709692813192,0.0295254779445184,0.0938440669335722,0.149928860515335,0.160347628736034,0.620457432986047,0.487450620249978,0.856428917772766,0.52116848964511,0.498694204985971,0.484322905864484,0.482665201842586,1,0.575085953784367,"n=5"
2,5,0.29389333245106,-0.0106033494600838,0.0506857426540982,-0.0867053769053189,-0.0183808941739254,0.0297573795470004,0.0689081060774376,0.0763528132242853,0.51836310025377,0.43791345839387,0.663516939760911,0.490332602981641,0.455023307690325,0.428193440629725,0.423728496654995,1,0.617188324525027,"n=5"
3,5,0.729307511349758,0.0462340943135968,0.094345710515064,-0.00187752188787038,0.0841225289243788,0.0937363074686237,0.0984151286306155,0.0994816520242597,0.366395351409174,0.385478728119656,0.354818256799683,0.418346660273731,0.395599512636284,0.377415198556673,0.374029043250728,1,0.625,"n=5"
4,5,1.02706186684777,0.0539959214445236,0.113699771182983,-0.00570792829393563,0.127496796007233,0.119943480519949,0.111463719602584,0.109973205894072,0.36611418780879,0.390853703114636,0.350972986632528,0.414620772245466,0.398974412047219,0.385056203595854,0.382534278797861,1,0.625,"n=5"
5,5,1.25479963118919,0.0738850070818613,0.141696704098361,0.00607331006536138,0.166918536349675,0.151392473326967,0.136216307201916,0.133471105276415,0.304816654938583,0.334218100312282,0.289543365889964,0.353640668712898,0.340978541206767,0.329847134866084,0.327852853584666,1,0.625,"n=5"
0.25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.396256721256974,"n=10"
0.35,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.421944667020256,"n=10"
0.5,10,-1.84443972705697,0.987968664173945,1.04989621517772,0.708564691549425,0.890984053509582,0.992247846658414,1.08635391960361,1.10359913479263,1.17111491834508,1.10109143881911,1.25198124569355,0.955346906774596,1.0483812267803,1.13532913626023,1.15145523686155,1,0.452701314010834,"n=10"
0.7,10,-0.965510768280782,0.195759423342165,0.253996917976174,-0.0447879369744082,0.0975929814021286,0.198111250854191,0.290181750860932,0.307135561952319,0.66269885992796,0.441567611484585,1.01283092856676,0.392029763558289,0.419651709598672,0.46091718279949,0.470272629554592,1,0.482621173507862,"n=10"
1,10,-0.458145365937078,-0.0386802170446864,0.0223846307401833,-0.167562928510753,-0.116564442168711,-0.0255559194572272,0.0553593077063098,0.0703687146955366,0.604845568493687,0.385069774765425,0.929710902501619,0.438124587329055,0.40128290374966,0.381401194139511,0.379945843765163,1,0.570934305444144,"n=10"
1.5,10,0.0123463062951856,-0.0446387681977458,-0.0436491008427948,-0.0660468362958879,-0.133502038683,-0.0731293172935252,-0.0211348839137181,-0.0114100812565395,0.482799847924073,0.422045984465234,0.598911310541575,0.494164603405397,0.44669964025732,0.408129590003147,0.401753791706443,1,0.615349966448043,"n=10"
2,10,0.320926943086197,-0.00169639461163384,-0.00218481420639771,-0.00120797501686998,-0.0458154275387287,-0.015016302331241,0.0098827024497054,0.0146213689584822,0.331260356550197,0.332019972683096,0.336131935229179,0.374588045098241,0.344363682376914,0.321973679761198,0.317953457357718,1,0.624205698248978,"n=10"
3,10,0.740802270462108,0.0312595675425847,0.0489623855025687,0.0135567495826009,0.0459719289189457,0.0484685540445743,0.0500047127480461,0.0503208909820583,0.218680460067151,0.228789400935902,0.209950260778014,0.23910868717871,0.232045686687612,0.226118582563849,0.225022582630609,1,0.625,"n=10"
4,10,1.03343137973649,0.0026144645324,0.0264192516291821,-0.0211903225643821,0.0325625135132019,0.0287760491745599,0.0251253923400661,0.0244521788519407,0.197283873021692,0.202313045721764,0.195212966065682,0.208059970462472,0.204403064175931,0.201035207002146,0.200423618091495,1,0.625,"n=10"
5,10,1.2588482363055,0.0299556149791649,0.0563450633375016,0.0035661666208282,0.0669314487529826,0.0602386489426245,0.0540260122594338,0.052893355455254,0.192116077358536,0.19967770769136,0.188096257958491,0.204988209379947,0.201634152487691,0.198545680864241,0.198010893584902,1,0.625,"n=10"
